"global_id";"ObjectName";"NameWinter";"PhotoWinter";"AdmArea";"District";"Address";"Email";"WebSite";"HelpPhone";"HelpPhoneExtension";"WorkingHoursWinter";"ClarificationOfWorkingHoursWinter";"PropertyType";"DepartamentalAffiliationType";"HasEquipmentRental";"EquipmentRentalComments";"HasTechService";"TechServiceComments";"HasDressingRoom";"HasEatery";"HasToilet";"HasWifi";"HasCashMachine";"HasFirstAidPost";"HasMusic";"UsagePeriodWinter";"Status";"DimensionsWinter";"Lighting";"SurfaceTypeWinter";"Seats";"Paid";"PaidComments";"DisabilityFriendly";"ServicesWinter";"geoData";"geodata_center";"geoarea";
"1022256087";"Крытое сооружение с искусственным льдом «Академия «Спартак» Сокольники»";"зал спортивный №2, «Бросковая зона»";"6e08c3d1-5553-4dea-b6a6-66f35f87a28a";"Восточный административный округ";"район Сокольники";"Большая Тихоновская улица, дом 2";"Arena_N_W@stfund.ru";"spartak-sporttech.ru/";"(495) 964-39-69";"";"понедельник 06:00-02:00,вторник 06:00-02:00,среда 06:00-02:00,четверг 06:00-02:00,пятница 06:00-02:00,суббота 06:00-02:00,воскресенье 06:00-02:00";"";"частная";"отсутствует";"нет";"";"да";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.09-31.08";"функционирует";"177.6 14.24 12.47   ";"освещение светодиодными лампами";"искусственный лед";"0";"платно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.6864266800676,55.8035846063221],""type"":""Point""}";"";"";
"1047348022";"Комплекс спортивных сооружений «Спортивно-интеллектуальное пространство «Курчатовец»»";"каток с искусственным льдом";"12503c3e-836f-4fd4-9423-5a30283e2f6c";"Северо-Западный административный округ";"район Щукино";"улица Рогова, дом 1, строение 1";"kurchatovec.stadium@gmail.com";"kurchatovec.ru";"(926) 088-86-07";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"государственная федеральная";"федеральная";"нет";"";"нет";"";"да";"нет";"да";"да";"нет";"нет";"да";"01.12-31.03";"функционирует";"800 40 20   ";"освещение светодиодными лампами";"искусственный лед";"310";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.4636606514191,55.7944720641254],""type"":""Point""}";"";"";
"1075330397";"Дворовая территория";"каток с натуральным льдом";"8a03aa60-e113-4ab5-b9a6-10bf0da99047";"Новомосковский административный округ";"поселение Десеновское";"деревня Ватутинки, дом 28";"desenovskoe@mail.ru";"desenovskoe.ru";"(495) 841-58-15";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.11-31.03";"функционирует";"540 30 18   ";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"не приспособлен";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.3304781248244,55.5080077523437],""type"":""Point""}";"";"";
"1075330399";"Дворовая территория";"каток с натуральным льдом";"726beee6-545f-49c1-a6ea-535f04fcb050";"Новомосковский административный округ";"поселение Щербинка";"город Щербинка, Высотная улица, дом 9А";"scherbinka@mos.ru";"scherbinka-mo.ru";"(495) 867-00-53";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"1098.7 44 24.97   ";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.5661535432378,55.5103205924932],""type"":""Point""}";"";"";
"1075330401";"Дворовая территория";"каток с натуральным льдом";"b530dd32-6103-4833-9844-37a21748f13b";"Новомосковский административный округ";"поселение Рязановское";"посёлок Остафьево, дом 24";"mail@ryazanovskoe.ru";"ryazanovskoe.ru";"(495) 867-85-18";"";"понедельник 10:00-22:00,вторник 10:00-22:00,среда 10:00-22:00,четверг 10:00-22:00,пятница 10:00-22:00,суббота 10:00-22:00,воскресенье 10:00-22:00";"";"муниципальная";"отсутствует";"нет";"";"нет";"бесплатно";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"1400 56 25   ";"освещение газоразрядными лампами";"натуральный лед";"0";"бесплатно";"";"не приспособлен";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.4863663326797,55.5009486637672],""type"":""Point""}";"";"";
"1075330411";"Дворовая территория";"каток с натуральным льдом";"05810bfd-7fc9-4dc1-991c-9fa451e2591e";"Троицкий административный округ";"поселение Троицк";"город Троицк, Солнечная улица, дом 2";"troitsk@mos.ru";"admtroitsk.ru";"(495) 840-66-46";"";"понедельник 08:00-20:00,вторник 08:00-20:00,среда 08:00-20:00,четверг 08:00-20:00,пятница 08:00-20:00,суббота 08:00-20:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"1800 60 30   ";"освещение лампами накаливания";"натуральный лед";"0";"бесплатно";"";"частично приспособлен";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.2940179487465,55.4673415156602],""type"":""Point""}";"";"";
"1075330413";"Дворовая территория";"каток с натуральным льдом";"82c7c841-8568-4a98-af87-fb0e3158742d";"Троицкий административный округ";"поселение Краснопахорское";"село Былово, Радужная улица, дом 2";"krasnopahorsckoe@yandex.ru";"krasnaya-pahra.ru";"(495) 850-81-43";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"630 35 18   ";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"не приспособлен";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.2444913789596,55.4475087754063],""type"":""Point""}";"";"";
"1075331606";"Дворовая территория";"каток с натуральным льдом";"c8854074-fa6b-4179-9d13-fc335d0e6179";"Троицкий административный округ";"поселение Краснопахорское";"посёлок подсобного хозяйства Минзаг, дом 2";"krasnopahorsckoe@yandex.ru";"krasnaya-pahra.ru";"(495) 850-81-43";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"да";"коньки ледовые для катания на коньках, прокат, платно, зима ";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"640 32 20   ";"освещение лампами накаливания";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.327201,55.444762],""type"":""Point""}";"";"";
"1075331722";"Комплекс спортивных сооружений «военная часть №61899»";"каток с натуральным льдом";"db7c7c10-4fbc-4873-8944-99bca06e060a";"Новомосковский административный округ";"поселение ""Мосрентген""";"посёлок завода Мосрентген, дом 39";"mosrentgen@mos.ru";"adm-mosrentgen.ru";"(495) 540-59-93";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"да";"01.12-31.03";"функционирует";"1500 50 30   ";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"не приспособлен";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.4758969992885,55.6194923483142],""type"":""Point""}";"";"";
"1075331771";"Дворовая территория";"каток с натуральным льдом";"d0bb1fce-f070-4f1f-bbd9-2a111af197c6";"Троицкий административный округ";"поселение Троицк";"1-я Мелитопольская улица, дом 1";"admtro@mail.ru";"admtroitsk.ru";"(495) 840-66-46";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"государственная региональная";"региональная";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"360 20 18   ";"освещение лампами накаливания";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.3027059421964,55.4932576185851],""type"":""Point""}";"";"";
"1075331792";"Дворовая территория";"каток с натуральным льдом";"803323b1-56d5-4aba-86da-b1322ead6b59";"Троицкий административный округ";"поселение Михайлово-Ярцевское";"посёлок Шишкин Лес, дом 49";"shishkinadmprnmo@mail.ru";"www.admsp.ru/";"(495) 850-59-62";"";"понедельник 11:00-22:00,вторник 11:00-22:00,среда 11:00-22:00,четверг 11:00-22:00,пятница 11:00-22:00,суббота 11:00-22:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"1350 54 25   ";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.189615069896,55.4108498152446],""type"":""Point""}";"";"";
"1075335503";"Дворовая территория";"каток с натуральным льдом";"74f3107d-f95f-4727-b895-a0c62aac91c7";"Новомосковский административный округ";"поселение Десеновское";"деревня Яковлево, Школьная улица, дом 1";"desenovskoe@mail.ru";"desenovskoe.ru";"(495) 841-55-64";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"450 30 15   ";"без дополнительного освещения";"натуральный лед";"0";"бесплатно";"";"не приспособлен";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.395197948268,55.4793288572567],""type"":""Point""}";"";"";
"1075347999";"Дворовая территория";"каток с натуральным льдом";"2e57298d-2b62-4060-9b30-9103c0f276cb";"Новомосковский административный округ";"поселение Десеновское";"деревня Ватутинки, дом 10";"desenovskoe@mail.ru";"desenovskoe.ru";"(495) 841-58-15";"";"понедельник 08:00-22:00,вторник 08:00-22:00,среда 08:00-22:00,четверг 08:00-22:00,пятница 08:00-22:00,суббота 08:00-22:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"544 34 16   ";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"не приспособлен";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.3242246168846,55.503414824894],""type"":""Point""}";"";"";
"1076701095";"Физкультурно-оздоровительный комплекс «Вороново»";"каток с натуральным льдом";"d6b2a7f7-3447-48da-b491-f642566f0dbb";"Троицкий административный округ";"поселение Вороновское";"посёлок ЛМС, микрорайон ""Центральный"", дом 40, строение 1";"skvoronovo@mail.ru";"voronovskoe.ru";"(495) 592-46-78";"";"понедельник 08:00-20:00,вторник 08:00-20:00,среда 08:00-20:00,четверг 08:00-20:00,пятница 08:00-20:00,суббота 08:00-20:00,воскресенье 08:00-20:00";"";"муниципальная";"отсутствует";"да";"прокат коньков 150 руб. в час. Есть заточка коньков | лыжи беговые, прокат, платно, зима ";"да";"";"да";"да";"да";"да";"да";"да";"да";"01.12-31.03";"функционирует";"1710.1 50 34.2   ";"освещение газоразрядными лампами";"натуральный лед";"0";"бесплатно";"";"не приспособлен";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.181898583992,55.3131880744279],""type"":""Point""}";"";"";
"1076701109";"Дворовая территория";"каток с натуральным льдом";"f2275bc0-51e7-4153-92ee-3b4fe3ee8c6d";"Троицкий административный округ";"поселение Роговское";"посёлок Рогово, Школьная улица, дом 20";"rogovskoe@yandex.ru";"rogovskoe.org";"(495) 850-99-11";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"да";"нет";"нет";"нет";"нет";"нет";"да";"01.12-31.03";"функционирует";"1800 60 30   ";"освещение лампами накаливания";"натуральный лед";"0";"бесплатно";"";"";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.0716592847576,55.2107656322239],""type"":""Point""}";"";"";
"1076701111";"Физкультурно-оздоровительный комплекс «СДЦ Первомайское»";"каток с натуральным льдом";"3f2a8bc8-e2ec-4bb0-b7b0-a41e8d0afd7b";"Троицкий административный округ";"поселение Первомайское";"посёлок Первомайское, Центральная улица, дом 1";"sdc.perv@yandex.ru";"pervosport.ru";"(495) 845-96-44";"";"понедельник 09:00-22:00,вторник 09:00-22:00,среда 09:00-22:00,четверг 09:00-22:00,пятница 09:00-22:00,суббота 09:00-22:00,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"да";"нет";"да";"нет";"нет";"да";"да";"01.12-31.03";"функционирует";"1375 55 25   ";"смешанное освещение";"натуральный лед";"0";"бесплатно";"";"не приспособлен";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.1646117692201,55.5351925994434],""type"":""Point""}";"";"";
"1076701119";"Центр спорта «Московский»";"каток с натуральным льдом";"3134f75d-29a8-4b03-9851-4259265a8dfc";"Новомосковский административный округ";"поселение Московский";"город Московский, 1-й микрорайон, дом 39";"mu_csm@list.ru";"www.newmoscowsport.ru";"(495) 841-08-70";"";"понедельник 08:00-23:00,вторник 08:00-23:00,среда 08:00-23:00,четверг 08:00-23:00,пятница 08:00-23:00,суббота 08:00-23:00,воскресенье закрыто";"";"государственная региональная";"региональная";"да";"прокат коньков 150 руб. в час ";"да";"";"да";"нет";"да";"нет";"нет";"нет";"да";"01.11-31.03";"функционирует";"1776.5 55 32.3   ";"освещение лампами накаливания";"натуральный лед";"0";"бесплатно";"";"не приспособлен";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.3513114632365,55.5970739804755],""type"":""Point""}";"";"";
"1076701121";"Дворовая территория";"каток с натуральным льдом";"249ef7a4-5a8e-453b-9796-1b3e724bb91b";"Троицкий административный округ";"поселение Щаповское";"посёлок Щапово, дом 19";"shapovo@shapovo.ru";"schapovo.ru";"(495) 865-60-66";"";"понедельник круглосуточно,вторник круглосуточно,среда круглосуточно,четверг круглосуточно,пятница круглосуточно,суббота круглосуточно,воскресенье закрыто";"";"муниципальная";"отсутствует";"нет";"";"нет";"";"нет";"нет";"нет";"нет";"нет";"нет";"нет";"01.12-31.03";"функционирует";"1500 50 30   ";"освещение лампами накаливания";"натуральный лед";"0";"бесплатно";"";"не приспособлен";"[общая физическая подготовка, хоккей]";"{""coordinates"":[37.4043025613461,55.4156164675499],""type"":""Point""}";"";"";
